idx,start,end,dp,RebalDate
186,1996-07-30,1996-12-09,5.530862251113463,2023-10-31
187,1996-07-31,1996-12-10,5.588862240669326,2023-10-31
185,1996-07-29,1996-12-06,5.8321013253823475,2023-10-31
188,1996-08-01,1996-12-11,5.8907975988071115,2023-10-31
5899,2019-07-15,2019-11-28,6.257855630528004,2023-10-31
184,1996-07-26,1996-12-05,6.275023710716555,2023-10-31
189,1996-08-02,1996-12-12,6.526096138521264,2023-10-31
5898,2019-07-12,2019-11-27,6.571453436762734,2023-10-31
5900,2019-07-16,2019-11-29,6.581729314871424,2023-10-31
5901,2019-07-17,2019-12-02,6.833811597777128,2023-10-31
183,1996-07-25,1996-12-04,6.948552471147281,2023-10-31
4559,2014-02-05,2014-06-19,7.107196459668019,2023-10-31
5897,2019-07-11,2019-11-26,7.241178909960283,2023-10-31
4560,2014-02-06,2014-06-20,7.265510708932699,2023-10-31
5902,2019-07-18,2019-12-03,7.29791958981748,2023-10-31
4558,2014-02-04,2014-06-18,7.304195553044365,2023-10-31
3064,2008-01-25,2008-06-10,7.479706153001223,2023-10-31
190,1996-08-05,1996-12-13,7.525447764624004,2023-10-31
182,1996-07-24,1996-12-03,7.572581595366814,2023-10-31
3063,2008-01-24,2008-06-09,7.599049864031459,2023-10-31
4557,2014-02-03,2014-06-17,7.640406970456429,2023-10-31
3065,2008-01-28,2008-06-11,7.761974264754096,2023-10-31
4561,2014-02-07,2014-06-23,7.7696001045795,2023-10-31
862,1999-04-26,1999-08-31,7.803473081365573,2023-10-31
2841,2007-03-08,2007-07-18,7.869626624551171,2023-10-31
2842,2007-03-09,2007-07-19,7.8780668614226395,2023-10-31
2840,2007-03-07,2007-07-17,7.907102393438367,2023-10-31
861,1999-04-23,1999-08-30,7.911984908643419,2023-10-31
5896,2019-07-10,2019-11-25,7.951665156215656,2023-10-31
4556,2014-01-31,2014-06-16,7.97617882174143,2023-10-31
2839,2007-03-06,2007-07-16,7.978512890021044,2023-10-31
5903,2019-07-19,2019-12-04,8.01009496186092,2023-10-31
144,1996-05-31,1996-10-08,8.013728651712302,2023-10-31
1341,2001-03-19,2001-07-26,8.024384798523151,2023-10-31
863,1999-04-28,1999-09-01,8.026184120793001,2023-10-31
1340,2001-03-16,2001-07-25,8.047499746638778,2023-10-31
145,1996-06-03,1996-10-09,8.049398018129152,2023-10-31
1342,2001-03-20,2001-07-27,8.05206119471162,2023-10-31
2354,2005-03-29,2005-08-03,8.100046392777783,2023-10-31
3062,2008-01-23,2008-06-06,8.10585629770572,2023-10-31
860,1999-04-22,1999-08-27,8.108918821120403,2023-10-31
2838,2007-03-05,2007-07-13,8.120585068812535,2023-10-31
2843,2007-03-12,2007-07-20,8.136180945240998,2023-10-31
4770,2014-12-19,2015-05-05,8.1364820774641,2023-10-31
146,1996-06-04,1996-10-10,8.138946345345953,2023-10-31
143,1996-05-30,1996-10-07,8.13985246029678,2023-10-31
4771,2014-12-22,2015-05-06,8.14099657541902,2023-10-31
3460,2009-09-09,2010-01-25,8.163461459579228,2023-10-31
471,1997-09-24,1998-02-10,8.194930035745239,2023-10-31
864,1999-04-29,1999-09-02,8.206250323840985,2023-10-31
2355,2005-03-30,2005-08-04,8.209345671249439,2023-10-31
472,1997-09-25,1998-02-11,8.222051332797784,2023-10-31
3066,2008-01-29,2008-06-12,8.225914795596411,2023-10-31
181,1996-07-23,1996-12-02,8.226451052902627,2023-10-31
859,1999-04-21,1999-08-26,8.22920775982331,2023-10-31
2353,2005-03-28,2005-08-02,8.252445592013437,2023-10-31
3459,2009-09-08,2010-01-22,8.252548279440726,2023-10-31
3461,2009-09-10,2010-01-27,8.277407419018536,2023-10-31
1343,2001-03-21,2001-07-30,8.287631558428345,2023-10-31
470,1997-09-23,1998-02-09,8.301590913261322,2023-10-31
6040,2020-02-07,2020-06-24,8.303113660980513,2023-10-31
4772,2014-12-23,2015-05-07,8.313022169233275,2023-10-31
4562,2014-02-10,2014-06-24,8.319826247437442,2023-10-31
5233,2016-11-04,2017-03-16,8.333722639617042,2023-10-31
1339,2001-03-15,2001-07-24,8.34813487853509,2023-10-31
5234,2016-11-07,2017-03-17,8.356027563697264,2023-10-31
4769,2014-12-18,2015-05-04,8.361002304369524,2023-10-31
6039,2020-02-06,2020-06-23,8.364517962952755,2023-10-31
865,1999-04-30,1999-09-03,8.364882666929478,2023-10-31
191,1996-08-06,1996-12-16,8.365617515984843,2023-10-31
2957,2007-08-24,2008-01-02,8.387348240325833,2023-10-31
6041,2020-02-10,2020-06-25,8.392765166118886,2023-10-31
5232,2016-11-03,2017-03-15,8.39558549510578,2023-10-31
2956,2007-08-23,2008-01-01,8.398699538387358,2023-10-31
142,1996-05-29,1996-10-04,8.408384730585427,2023-10-31
6053,2020-02-27,2020-07-13,8.419503628297806,2023-10-31
473,1997-09-26,1998-02-12,8.421834723358396,2023-10-31
5231,2016-11-02,2017-03-14,8.424398927193433,2023-10-31
5235,2016-11-08,2017-03-20,8.442040784277072,2023-10-31
2837,2007-03-02,2007-07-12,8.449600941941922,2023-10-31
147,1996-06-05,1996-10-11,8.450015889955218,2023-10-31
3458,2009-09-07,2010-01-21,8.46211179505211,2023-10-31
5236,2016-11-09,2017-03-21,8.467870163976723,2023-10-31
866,1999-05-03,1999-09-06,8.48879478899971,2023-10-31
6038,2020-02-05,2020-06-22,8.492140706394295,2023-10-31
2352,2005-03-24,2005-08-01,8.506520697132196,2023-10-31
5230,2016-11-01,2017-03-10,8.521483753258076,2023-10-31
858,1999-04-20,1999-08-25,8.533974037742846,2023-10-31
4555,2014-01-30,2014-06-13,8.53751060323663,2023-10-31
6052,2020-02-26,2020-07-10,8.53830752712483,2023-10-31
3061,2008-01-22,2008-06-05,8.547383846099667,2023-10-31
2356,2005-03-31,2005-08-05,8.55970532034064,2023-10-31
5895,2019-07-09,2019-11-22,8.584407357614504,2023-10-31
2958,2007-08-27,2008-01-03,8.605034884836021,2023-10-31
6054,2020-02-28,2020-07-14,8.607340934232578,2023-10-31
6491,2021-12-03,2022-04-13,8.609675183234268,2023-10-31
1344,2001-03-22,2001-07-31,8.615088329309794,2023-10-31
3067,2008-01-30,2008-06-13,8.618017422194367,2023-10-31
4773,2014-12-24,2015-05-08,8.618403565310057,2023-10-31
6492,2021-12-06,2022-04-18,8.623420548140851,2023-10-31
469,1997-09-22,1998-02-06,8.62517671659258,2023-10-31
141,1996-05-28,1996-10-03,8.631801965586071,2023-10-31
5904,2019-07-22,2019-12-05,8.632373848661665,2023-10-31
5229,2016-10-30,2017-03-09,8.632960024077281,2023-10-31
2959,2007-08-28,2008-01-04,8.658746324364449,2023-10-31
4129,2012-05-18,2012-09-25,8.676639732259758,2023-10-31
4128,2012-05-17,2012-09-24,8.677327632711155,2023-10-31
1338,2001-03-14,2001-07-23,8.688212868248776,2023-10-31
6490,2021-12-02,2022-04-12,8.705649354100752,2023-10-31
6042,2020-02-11,2020-06-26,8.71857568851407,2023-10-31
365,1997-04-24,1997-09-02,8.7278823236415,2023-10-31
4127,2012-05-16,2012-09-21,8.730250653153892,2023-10-31
180,1996-07-22,1996-11-29,8.738748714828258,2023-10-31
5228,2016-10-28,2017-03-08,8.760664725496252,2023-10-31
4768,2014-12-17,2015-04-30,8.763820610168464,2023-10-31
1103,2000-04-06,2000-08-16,8.763903172811837,2023-10-31
3457,2009-09-04,2010-01-20,8.778224765969215,2023-10-31
369,1997-04-30,1997-09-08,8.778747335989708,2023-10-31
6489,2021-12-01,2022-04-11,8.779599203004313,2023-10-31
3462,2009-09-11,2010-01-28,8.788946397073177,2023-10-31
2955,2007-08-22,2007-12-31,8.78927005637761,2023-10-31
2836,2007-03-01,2007-07-11,8.796753456461673,2023-10-31
368,1997-04-29,1997-09-05,8.803449123194598,2023-10-31
4130,2012-05-21,2012-09-26,8.807368857189102,2023-10-31
6051,2020-02-25,2020-07-09,8.811995947970201,2023-10-31
6493,2021-12-07,2022-04-19,8.814212921592654,2023-10-31
474,1997-09-29,1998-02-13,8.823178430989024,2023-10-31
364,1997-04-23,1997-09-01,8.826627353025524,2023-10-31
1104,2000-04-07,2000-08-17,8.829472228795284,2023-10-31
366,1997-04-25,1997-09-03,8.837733441637731,2023-10-31
3068,2008-01-31,2008-06-16,8.843801688524906,2023-10-31
5227,2016-10-27,2017-03-07,8.853782760372068,2023-10-31
1102,2000-04-05,2000-08-14,8.86337810685267,2023-10-31
1345,2001-03-23,2001-08-01,8.865948790535938,2023-10-31
867,1999-05-04,1999-09-07,8.869486122264506,2023-10-31
367,1997-04-28,1997-09-04,8.873798696565823,2023-10-31
4126,2012-05-15,2012-09-20,8.875059931535013,2023-10-31
2844,2007-03-13,2007-07-23,8.880819762442927,2023-10-31
5224,2016-10-24,2017-03-02,8.881886098059477,2023-10-31
363,1997-04-22,1997-08-29,8.901387919206446,2023-10-31
857,1999-04-19,1999-08-24,8.932182790097496,2023-10-31
2351,2005-03-23,2005-07-29,8.934922595098032,2023-10-31
370,1997-05-02,1997-09-09,8.94189886144471,2023-10-31
6055,2020-03-02,2020-07-15,8.942122172135088,2023-10-31
5226,2016-10-26,2017-03-06,8.950937390635495,2023-10-31
5225,2016-10-25,2017-03-03,8.963263178743267,2023-10-31
1337,2001-03-13,2001-07-20,8.96496781407547,2023-10-31
2102,2004-03-30,2004-08-05,8.969833917154562,2023-10-31
148,1996-06-06,1996-10-14,8.970238825616953,2023-10-31
4131,2012-05-22,2012-09-27,8.970496874009996,2023-10-31
6037,2020-02-04,2020-06-19,8.97322558456378,2023-10-31
2101,2004-03-29,2004-08-04,8.984218655554328,2023-10-31
1101,2000-04-04,2000-08-11,9.001940111242627,2023-10-31
468,1997-09-19,1998-02-05,9.014138877821214,2023-10-31
4125,2012-05-14,2012-09-18,9.018460717339947,2023-10-31
140,1996-05-27,1996-10-01,9.022574407056878,2023-10-31
4563,2014-02-11,2014-06-25,9.022638497988313,2023-10-31
639,1998-06-08,1998-10-15,9.03419637821572,2023-10-31
5237,2016-11-10,2017-03-22,9.037336975837786,2023-10-31
6488,2021-11-30,2022-04-08,9.040785575160625,2023-10-31
6324,2021-03-31,2021-08-11,9.041402859272495,2023-10-31
2357,2005-04-01,2005-08-08,9.042067710601907,2023-10-31
6494,2021-12-08,2022-04-20,9.050210132537268,2023-10-31
5223,2016-10-21,2017-03-01,9.051816230544064,2023-10-31
4774,2014-12-26,2015-05-11,9.063773608536517,2023-10-31
5809,2019-02-28,2019-07-15,9.064110725422593,2023-10-31
4331,2013-03-07,2013-07-17,9.065057729282268,2023-10-31
2960,2007-08-29,2008-01-07,9.066961018731652,2023-10-31
362,1997-04-21,1997-08-28,9.070489064836643,2023-10-31
6043,2020-02-12,2020-06-29,9.084191112540294,2023-10-31
3060,2008-01-21,2008-06-04,9.084472263584107,2023-10-31
640,1998-06-09,1998-10-16,9.086883052055413,2023-10-31
1105,2000-04-10,2000-08-18,9.08835845790761,2023-10-31
179,1996-07-19,1996-11-28,9.093299802651135,2023-10-31
2835,2007-02-28,2007-07-10,9.097101560547307,2023-10-31
2954,2007-08-21,2007-12-28,9.102369698845484,2023-10-31
371,1997-05-05,1997-09-10,9.103678622899624,2023-10-31
638,1998-06-05,1998-10-14,9.104411114512384,2023-10-31
641,1998-06-10,1998-10-19,9.110428049783295,2023-10-31
3069,2008-02-01,2008-06-17,9.113638412497057,2023-10-31
2100,2004-03-26,2004-08-03,9.115354512722789,2023-10-31
4330,2013-03-06,2013-07-16,9.128603278825068,2023-10-31
6323,2021-03-30,2021-08-10,9.132755509006657,2023-10-31
5808,2019-02-27,2019-07-12,9.138219911547113,2023-10-31
5807,2019-02-26,2019-07-11,9.15538365102111,2023-10-31
4124,2012-05-11,2012-09-17,9.15888135202468,2023-10-31
5810,2019-03-01,2019-07-16,9.166781204394102,2023-10-31
5905,2019-07-23,2019-12-06,9.16835519974829,2023-10-31
5894,2019-07-08,2019-11-21,9.169842791791785,2023-10-31
642,1998-06-11,1998-10-20,9.177889424249672,2023-10-31
1346,2001-03-26,2001-08-02,9.182183944994408,2023-10-31
192,1996-08-07,1996-12-17,9.184428744086,2023-10-31
2103,2004-03-31,2004-08-06,9.193440601651284,2023-10-31
5222,2016-10-20,2017-02-28,9.202787258026952,2023-10-31
1015,1999-11-30,2000-04-10,9.252304090697013,2023-10-31
4329,2013-03-05,2013-07-15,9.268247949681914,2023-10-31
6325,2021-04-01,2021-08-12,9.279252098425653,2023-10-31
1336,2001-03-12,2001-07-19,9.28182087813531,2023-10-31
4123,2012-05-10,2012-09-14,9.288042015191213,2023-10-31
4132,2012-05-23,2012-09-28,9.29637000296691,2023-10-31
6056,2020-03-03,2020-07-16,9.296584510718338,2023-10-31
6322,2021-03-26,2021-08-09,9.307545778024343,2023-10-31
868,1999-05-05,1999-09-08,9.31116214845137,2023-10-31
1839,2003-03-19,2003-07-25,9.314571746460187,2023-10-31
3070,2008-02-04,2008-06-18,9.316408780208633,2023-10-31
6495,2021-12-09,2022-04-21,9.32096519055842,2023-10-31
3456,2009-09-03,2010-01-19,9.321924493113105,2023-10-31
5443,2017-09-08,2018-01-17,9.32248350644443,2023-10-31
1100,2000-04-03,2000-08-10,9.327774167752992,2023-10-31
5712,2018-10-10,2019-02-19,9.328667634683915,2023-10-31
1014,1999-11-29,2000-04-07,9.333348267203355,2023-10-31
2644,2006-05-26,2006-09-29,9.336450484626914,2023-10-31
6506,2021-12-24,2022-05-09,9.336460294351838,2023-10-31
