Date,GBES.NS,NBES.NS
1/8/2002,,11.155
1/9/2002,,10.915
1/10/2002,,10.905
1/11/2002,,10.81
1/14/2002,,11.065
1/15/2002,,10.915
1/16/2002,,10.845
1/17/2002,,11.11
1/18/2002,,10.875
1/21/2002,,10.85
1/22/2002,,10.87
1/23/2002,,10.8
1/24/2002,,10.805
1/25/2002,,10.795
1/28/2002,,10.705
1/29/2002,,10.75
1/30/2002,,10.635
1/31/2002,,10.8
2/1/2002,,10.78
2/4/2002,,10.72
2/5/2002,,10.71
2/6/2002,,11.115
2/7/2002,,10.96
2/8/2002,,11.19
2/11/2002,,11.31
2/12/2002,,11.275
2/13/2002,,11.295
2/14/2002,,11.435
2/15/2002,,11.56
2/18/2002,,11.625
2/19/2002,,11.57
2/20/2002,,11.415
2/21/2002,,11.47
2/22/2002,,11.535
2/25/2002,,11.57
2/26/2002,,11.83
2/27/2002,,11.77
2/28/2002,,11.395
3/1/2002,,11.625
3/4/2002,,11.655
3/5/2002,,11.675
3/6/2002,,11.6
3/7/2002,,11.815
3/8/2002,,11.85
3/11/2002,,11.635
3/12/2002,,11.435
3/13/2002,,11.54
3/14/2002,,11.525
3/15/2002,,11.695
3/18/2002,,11.705
3/19/2002,,11.545
3/20/2002,,11.585
3/21/2002,,11.515
3/21/2002,,11.515
3/22/2002,,11.44
3/26/2002,,11.28
3/27/2002,,11.285
3/28/2002,,11.35
4/1/2002,,11.39
4/2/2002,,11.33
4/3/2002,,11.22
4/4/2002,,11.41
4/5/2002,,11.405
4/8/2002,,11.34
4/9/2002,,11.295
4/10/2002,,11.405
4/11/2002,,11.445
4/12/2002,,11.44
4/15/2002,,11.32
4/16/2002,,11.26
4/17/2002,,11.32
4/18/2002,,11.305
4/19/2002,,11.045
4/22/2002,,11.075
4/23/2002,,11.055
4/24/2002,,11.075
4/25/2002,,11.04
4/26/2002,,10.95
4/29/2002,,10.805
4/30/2002,,10.885
5/2/2002,,10.955
5/3/2002,,10.84
5/6/2002,,11.025
5/7/2002,,11.085
5/8/2002,,11.145
5/9/2002,,11.235
5/10/2002,,11.17
5/13/2002,,11.17
5/14/2002,,11.17
5/15/2002,,11.08
5/16/2002,,10.995
5/17/2002,,10.93
5/20/2002,,10.785
5/21/2002,,10.47
5/22/2002,,10.43
5/23/2002,,10.34
5/24/2002,,10.67
5/27/2002,,10.545
5/28/2002,,10.395
5/29/2002,,10.47
5/30/2002,,10.325
5/31/2002,,10.305
6/3/2002,,10.415
6/4/2002,,10.475
6/5/2002,,10.625
6/6/2002,,10.65
6/7/2002,,10.455
6/10/2002,,10.61
6/11/2002,,10.925
6/12/2002,,10.85
6/13/2002,,10.845
6/14/2002,,10.8
6/17/2002,,10.905
6/18/2002,,10.78
6/19/2002,,10.64
6/19/2002,,10.64
6/20/2002,,10.68
6/21/2002,,10.61
6/24/2002,,10.6
6/25/2002,,10.515
6/26/2002,,10.475
6/27/2002,,10.47
6/28/2002,,10.585
7/1/2002,,10.665
7/2/2002,,10.72
7/3/2002,,10.75
7/4/2002,,10.715
7/5/2002,,10.75
7/8/2002,,10.88
7/9/2002,,10.82
7/10/2002,,10.73
7/11/2002,,10.605
7/12/2002,,10.61
7/15/2002,,10.5
7/16/2002,,10.475
7/17/2002,,10.325
7/18/2002,,10.44
7/19/2002,,10.355
7/22/2002,,10.225
7/23/2002,,10.24
7/24/2002,,10.195
7/25/2002,,10.13
7/26/2002,,9.855
7/29/2002,,9.78
7/30/2002,,9.735
7/31/2002,,9.695
8/1/2002,,9.725
8/2/2002,,9.605
8/5/2002,,9.665
8/6/2002,,9.78
8/7/2002,,9.845
8/8/2002,,9.655
8/9/2002,,9.725
8/12/2002,,9.82
8/13/2002,,9.85
8/14/2002,,9.82
8/16/2002,,9.85
8/19/2002,,9.985
8/20/2002,,10
8/21/2002,,10.035
8/22/2002,,10.045
8/23/2002,,10.075
8/26/2002,,10.13
8/27/2002,,10.025
8/28/2002,,9.96
8/29/2002,,10.005
8/30/2002,,10.185
9/2/2002,,10.255
9/3/2002,,10.125
9/4/2002,,10.195
9/5/2002,,10.235
9/6/2002,,10.085
9/9/2002,,10.045
9/11/2002,,10.13
9/12/2002,,10.18
9/13/2002,,10.015
9/16/2002,,10.04
9/17/2002,,10.045
9/17/2002,,10.045
9/18/2002,,9.96
9/19/2002,,9.83
9/20/2002,,9.86
9/23/2002,,9.805
9/24/2002,,9.79
9/25/2002,,9.77
9/26/2002,,9.815
9/27/2002,,9.88
9/30/2002,,9.75
10/1/2002,,9.64
10/3/2002,,9.635
10/4/2002,,9.59
10/7/2002,,9.69
10/8/2002,,9.74
10/9/2002,,9.67
10/10/2002,,9.685
10/11/2002,,9.855
10/14/2002,,9.83
10/16/2002,,9.88
10/17/2002,,9.895
10/18/2002,,9.82
10/21/2002,,9.805
10/22/2002,,9.775
10/23/2002,,9.72
10/24/2002,,9.64
10/25/2002,,9.49
10/28/2002,,9.405
10/29/2002,,9.53
10/30/2002,,9.545
10/31/2002,,9.645
11/1/2002,,9.655
11/4/2002,,9.775
11/5/2002,,9.77
11/7/2002,,9.77
11/8/2002,,9.735
11/11/2002,,9.705
11/12/2002,,9.76
11/13/2002,,9.755
11/14/2002,,9.855
11/15/2002,,10.06
11/18/2002,,10.105
11/20/2002,,10.155
11/21/2002,,10.23
11/22/2002,,10.325
11/25/2002,,10.375
11/26/2002,,10.515
11/27/2002,,10.375
11/28/2002,,10.55
11/29/2002,,10.645
12/2/2002,,10.785
12/3/2002,,10.695
12/4/2002,,10.555
12/5/2002,,10.65
12/6/2002,,10.845
12/9/2002,,10.715
12/10/2002,,10.75
12/11/2002,,10.83
12/12/2002,,10.915
12/13/2002,,11.045
12/16/2002,,10.905
12/16/2002,,10.905
12/17/2002,,10.83
12/18/2002,,10.895
12/19/2002,,10.865
12/20/2002,,10.96
12/23/2002,,10.88
12/24/2002,,11
12/26/2002,,11.095
12/27/2002,,11.115
12/30/2002,,11.07
12/31/2002,,11.11
1/1/2003,,11.145
1/2/2003,,11.055
1/3/2003,,11.025
1/6/2003,,10.995
1/7/2003,,11
1/8/2003,,11.055
1/9/2003,,11.135
1/10/2003,,10.96
1/13/2003,,10.92
1/14/2003,,10.975
1/15/2003,,10.975
1/16/2003,,11.03
1/17/2003,,11.02
1/20/2003,,10.915
1/21/2003,,10.935
1/22/2003,,10.97
1/23/2003,,10.85
1/24/2003,,10.72
1/27/2003,,10.545
1/28/2003,,10.615
1/29/2003,,10.54
1/30/2003,,10.505
1/31/2003,,10.57
2/3/2003,,10.7
2/4/2003,,10.69
2/5/2003,,10.63
2/6/2003,,10.75
2/7/2003,,10.705
2/10/2003,,10.62
2/11/2003,,10.65
2/12/2003,,10.585
2/14/2003,,10.51
2/17/2003,,10.775
2/18/2003,,10.755
2/19/2003,,10.74
2/20/2003,,10.715
2/21/2003,,10.735
2/24/2003,,10.79
2/25/2003,,10.65
2/26/2003,,10.56
2/27/2003,,10.58
2/28/2003,,10.725
3/3/2003,,10.645
3/4/2003,,10.525
3/5/2003,,10.48
3/6/2003,,10.405
3/7/2003,,10.235
3/10/2003,,10.15
3/11/2003,,10.225
3/12/2003,,10.15
3/13/2003,,10.085
3/17/2003,,10.035
3/19/2003,,10.105
3/20/2003,,10.335
3/21/2003,,10.405
3/24/2003,,10.2
3/25/2003,,10.2
3/26/2003,,10.2
3/27/2003,,10.145
3/28/2003,,10.1
3/31/2003,,9.865
4/1/2003,,9.91
4/2/2003,,10.065
4/3/2003,,10.155
4/4/2003,,10.225
4/7/2003,,10.325
4/8/2003,,10.32
4/9/2003,,10.255
4/10/2003,,9.825
4/11/2003,,9.64
4/15/2003,,9.655
4/16/2003,,9.71
4/17/2003,,9.515
4/21/2003,,9.63
4/22/2003,,9.545
4/23/2003,,9.48
4/24/2003,,9.515
4/25/2003,,9.375
4/28/2003,,9.425
4/29/2003,,9.455
4/30/2003,,9.445
5/2/2003,,9.545
5/5/2003,,9.55
5/6/2003,,9.575
5/7/2003,,9.555
5/8/2003,,9.46
5/9/2003,,9.42
5/12/2003,,9.44
5/13/2003,,9.48
5/14/2003,,9.56
5/15/2003,,9.645
5/16/2003,,9.755
5/19/2003,,9.69
5/20/2003,,9.75
5/21/2003,,9.67
5/22/2003,,9.665
5/23/2003,,9.7
5/26/2003,,9.91
5/27/2003,,9.815
5/28/2003,,9.905
5/29/2003,,10
5/30/2003,,10
6/2/2003,,10.105
6/3/2003,,10.145
6/4/2003,,10.24
6/5/2003,,10.345
6/6/2003,,10.495
6/9/2003,,10.5
6/10/2003,,10.485
6/11/2003,,10.505
6/12/2003,,10.54
6/13/2003,,10.62
6/16/2003,,10.61
6/17/2003,,10.845
6/18/2003,,10.905
6/19/2003,,10.95
6/20/2003,,11.03
6/23/2003,,11.01
6/24/2003,,11.055
6/25/2003,,11.195
6/26/2003,,11.175
6/27/2003,,11.315
6/30/2003,,11.435
7/1/2003,,11.305
7/2/2003,,11.475
7/3/2003,,11.4
7/4/2003,,11.48
7/7/2003,,11.595
7/8/2003,,11.64
7/9/2003,,11.6
7/10/2003,,11.79
7/11/2003,,11.69
7/14/2003,,11.86
7/15/2003,,11.6
7/16/2003,,11.85
7/17/2003,,11.753
7/18/2003,,11.502
7/21/2003,,11.345
7/22/2003,,11.249
7/23/2003,,11.374
7/24/2003,,11.52
7/25/2003,,11.725
7/28/2003,,11.962
7/29/2003,,11.85
7/30/2003,,12
7/31/2003,,12
8/1/2003,,12.074
8/4/2003,,12.246
8/5/2003,,12.074
8/6/2003,,11.995
8/7/2003,,12.184
8/8/2003,,12.526
8/11/2003,,12.572
8/12/2003,,12.405
8/13/2003,,12.595
8/14/2003,,12.695
8/18/2003,,12.86
8/19/2003,,13.09
8/20/2003,,12.897
8/21/2003,,12.978
8/22/2003,,13.113
8/25/2003,,12.806
8/26/2003,,13.169
8/27/2003,,13.315
8/28/2003,,13.3
8/29/2003,,13.6
9/1/2003,,13.695
9/2/2003,,13.665
9/3/2003,,13.49
9/4/2003,,13.7
9/5/2003,,13.914
9/8/2003,,14.16
9/9/2003,,14.113
9/10/2003,,14.057
9/11/2003,,14.05
9/12/2003,,13.807
9/12/2003,,13.807
9/15/2003,,13.303
